source_name,feed_url,site_domain,language,region_scope,permission_status,terms_url,notes
"Amar Ujala-Amethi","https://www.amarujala.com/rss/amethi.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Unnao","https://www.amarujala.com/rss/unnao.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Kaushambi","https://www.amarujala.com/rss/kaushambi.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Ambedkar Nagar","https://www.amarujala.com/rss/ambedkar-nagar.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Amroha","https://www.amarujala.com/rss/amroha.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Jalaun","https://www.amarujala.com/rss/jalaun.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Chitrakoot","https://www.amarujala.com/rss/chitrakoot.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Ghatampur","https://www.amarujala.com/rss/ghatampur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Aligarh","https://www.amarujala.com/rss/aligarh.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Agra","https://www.amarujala.com/rss/agra.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Azamgarh","https://www.amarujala.com/rss/azamgarh.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Kannauj","https://www.amarujala.com/rss/kannauj.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Auraiya","https://www.amarujala.com/rss/auraiya.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Etawah","https://www.amarujala.com/rss/etawah.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Etah","https://www.amarujala.com/rss/etah.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala - Uttar Pradesh","https://www.amarujala.com/rss/uttar-pradesh.xml","www.amarujala.com","Hindi","State","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Kanpur","https://www.amarujala.com/rss/kanpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Gonda","https://www.amarujala.com/rss/gonda.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
